StockRefID,ProductRefId,SalesmanId,Description,Shape,Carat,Color,Clarity,Cut,Polish,Symmetry,CertifiedBy,CertifiedID,MeaWidth,MeaLength,MeaDepth,Depth,TableSpec,CrownHeight,PavilionDepth,Graining,GirdleFrom,GirdleTo,StoneType,Country,Discount,Price,PricePerCarat,Treatment,LaserInscription,GirdlePercentage,PavilionAngle,CrownAngle,ImageName1,ImageName2,ImageName3,SecondaryPrice,IsSpecial,IsCalRapPrice
1.10E+11,,,,RB,0.3,D,VVS2,VG,VG,VG   ,GIA,7221089781,0.0,4.22,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,537.6,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS2,VG,VG,VG   ,GIA,6222092310,0.0,4.24,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,537.6,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS2,EX,EX,VG   ,GIA,1228031999,0.0,4.35,0.0,0.0,0.0,0.0,0.0,,THN , MED,,,,583.8,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS2,VG,VG,EX   ,GIA,1223064424,0.0,4.21,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,539.7,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS2,EX,EX,EX   ,GIA,7221112097,0.0,4.33,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,617.4,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS2,EX,EX,VG   ,GIA,6225130745,0.0,4.35,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,550.2,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS2,EX,EX,VG   ,GIA,6222090854,0.0,4.33,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,590.1,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS2,VG,EX,VG   ,GIA,2224129504,0.0,4.31,0.0,0.0,0.0,0.0,0.0,,MED , THK,,,,548.1,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS1,EX,EX,VG   ,GIA,6211978662,0.0,4.29,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,553.8,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS1,VG,EX,VG   ,GIA,7211977666,0.0,4.22,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,530.4,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS1,VG,EX,VG   ,GIA,7221004744,0.0,4.32,0.0,0.0,0.0,0.0,0.0,,MED , THK,,,,542.1,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS1,VG,EX,VG   ,GIA,5226015219,0.0,4.21,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,514.8,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS1,EX,VG,EX   ,GIA,7226012997,0.0,4.29,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,549.9,,,,0.0,0.0,0.0,,,,-1.0,,
1.01E+11,,,,RB,0.3,D,VS1,EX,EX,EX   ,GIA,2216929827,0.0,4.29,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,585.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS1,EX,EX,VG   ,GIA,6222039808,0.0,4.32,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,553.8,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS1,VG,EX,EX   ,GIA,1229053231,0.0,4.22,0.0,0.0,0.0,0.0,0.0,,THK,THK,,,,546.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS1,EX,EX,VG   ,GIA,1223052584,0.0,4.29,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,557.7,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS1,EX,EX,EX   ,GIA,2224031772,0.0,4.29,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,546.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS1,EX,EX,VG   ,GIA,1219939688,0.0,4.31,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,561.6,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS1,VG,EX,EX   ,GIA,2227092581,0.0,4.25,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,542.1,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS1,EX,EX,EX   ,GIA,2227079461,0.0,4.31,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,585.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS1,EX,EX,EX   ,GIA,7228089475,0.0,4.3,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,585.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS1,VG,VG,VG   ,GIA,2226079823,0.0,4.22,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,534.3,,,,0.0,0.0,0.0,,,,-1.0,,
1.01E+11,,,,RB,0.3,D,VS1,EX,EX,VG   ,GIA,2214319437,0.0,4.36,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,546.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.01E+11,,,,RB,0.3,D,VS1,EX,VG,VG   ,GIA,5216383391,0.0,4.34,0.0,0.0,0.0,0.0,0.0,,THN , STK,,,,553.8,,,,0.0,0.0,0.0,,,,-1.0,,
1.01E+11,,,,RB,0.3,D,VS1,EX,VG,VG   ,GIA,7213602491,0.0,4.31,0.0,0.0,0.0,0.0,0.0,,THN , STK,,,,557.7,,,,0.0,0.0,0.0,,,,-1.0,,
1.01E+11,,,,RB,0.3,D,VS1,EX,EX,VG   ,GIA,1218892470,0.0,4.3,0.0,0.0,0.0,0.0,0.0,,THN , STK,,,,553.8,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS1,EX,VG,EX   ,GIA,6225069912,0.0,4.31,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,557.7,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS1,EX,EX,EX   ,GIA,2226015000,0.0,4.32,0.0,0.0,0.0,0.0,0.0,,MED,MED,,,,585.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS1,EX,EX,VG   ,GIA,7218951540,0.0,4.29,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,530.4,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS1,EX,VG,VG   ,GIA,2226130320,0.0,4.28,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,546.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS1,EX,EX,EX   ,GIA,2226127474,0.0,4.36,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,581.1,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS1,VG,EX,VG   ,GIA,7228112762,0.0,4.24,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,518.7,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS1,EX,EX,EX   ,GIA,5226124015,0.0,4.3,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,577.2,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS1,EX,EX,EX   ,GIA,2224093941,0.0,4.28,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,581.1,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS1,VG,EX,VG   ,GIA,1229102121,0.0,4.21,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,542.1,,,,0.0,0.0,0.0,,,,-1.0,,
1.01E+11,,,,RB,0.3,D,VS2,EX,EX,VG   ,GIA,2216844005,0.0,4.29,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,521.25,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,EX,EX,VG   ,GIA,5213963468,0.0,4.32,0.0,0.0,0.0,0.0,0.0,,THN , STK,,,,532.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,EX,EX,VG   ,GIA,2214984015,0.0,4.34,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,525.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,EX,EX,VG   ,GIA,2217943757,0.0,4.31,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,532.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,EX,VG,EX   ,GIA,7226003544,0.0,4.3,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,536.25,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,VG,VG,EX   ,GIA,2224013120,0.0,4.21,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,498.75,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,EX,EX,VG   ,GIA,7221015495,0.0,4.28,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,465.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,EX,VG,EX   ,GIA,1229005759,0.0,4.33,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,528.75,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,EX,EX,EX   ,GIA,2226013005,0.0,4.32,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,562.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,VG,EX,EX   ,GIA,2228012844,0.0,4.25,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,513.75,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,EX,EX,VG   ,GIA,3225031533,0.0,4.28,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,532.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,VG,EX,VG   ,GIA,2226014702,0.0,4.22,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,483.75,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,VG,VG,VG   ,GIA,5213957194,0.0,4.21,0.0,0.0,0.0,0.0,0.0,,MED , THK,,,,483.75,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,EX,EX,EX   ,GIA,2226006044,0.0,4.3,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,562.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,VG,EX,G   ,GIA,6221067084,0.0,4.28,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,480.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,EX,EX,VG   ,GIA,1225031644,0.0,4.29,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,532.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,EX,EX,VG   ,GIA,2227067149,0.0,4.35,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,528.75,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,EX,EX,VG   ,GIA,6215939520,0.0,4.32,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,540.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,VG,EX,VG   ,GIA,7221080557,0.0,4.21,0.0,0.0,0.0,0.0,0.0,,MED , THK,,,,498.75,,,,0.0,0.0,0.0,,,,-1.0,,
1.01E+11,,,,RB,0.3,D,VS2,VG,EX,EX   ,GIA,1217905611,0.0,4.22,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,510.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,EX,VG,EX   ,GIA,7223070094,0.0,4.28,0.0,0.0,0.0,0.0,0.0,,THN , STK,,,,536.25,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,VG,VG,EX   ,GIA,6222079066,0.0,4.36,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,483.75,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,EX,EX,VG   ,GIA,6225094097,0.0,4.33,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,521.25,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,VG,EX,VG   ,GIA,2224080768,0.0,4.22,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,495.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,VG,EX,VG   ,GIA,6222080229,0.0,4.22,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,495.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.01E+11,,,,RB,0.3,D,VS2,VG,EX,VG   ,GIA,1218693545,0.0,4.4,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,502.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,EX,EX,VG   ,GIA,1213943611,0.0,4.29,0.0,0.0,0.0,0.0,0.0,,STK,STK,,,,536.25,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,EX,EX,VG   ,GIA,1227112889,0.0,4.29,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,532.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,EX,EX,VG   ,GIA,1228106202,0.0,4.36,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,521.25,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,VG,VG,G   ,GIA,7223120476,0.0,4.24,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,487.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,VG,EX,EX   ,GIA,5223123930,0.0,4.21,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,510.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,EX,EX,VG   ,GIA,7228093234,0.0,4.32,0.0,0.0,0.0,0.0,0.0,,THN , STK,,,,525.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,EX,EX,VG   ,GIA,7228129125,0.0,4.36,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,536.25,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,VG,VG,VG   ,GIA,1225112634,0.0,4.29,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,487.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,EX,EX,EX   ,GIA,6221125212,0.0,4.32,0.0,0.0,0.0,0.0,0.0,,THN , STK,,,,558.75,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,EX,EX,EX   ,GIA,6222113038,0.0,4.28,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,525.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,VG,VG,VG   ,GIA,5223112669,0.0,4.24,0.0,0.0,0.0,0.0,0.0,,THN , THK,,,,498.75,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,VG,EX,EX   ,GIA,3225129751,0.0,4.2,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,498.75,,,,0.0,0.0,0.0,,,,-1.0,,
1.01E+11,,,,RB,0.3,D,VS2,EX,VG,EX   ,GIA,2216808926,0.0,4.29,0.0,0.0,0.0,0.0,0.0,,MED,MED,,,,536.25,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,EX,EX,EX   ,GIA,6222093173,0.0,4.3,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,558.75,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,VG,VG,VG   ,GIA,7222112650,0.0,4.28,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,495.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VS2,VG,EX,VG   ,GIA,6222128864,0.0,4.27,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,506.25,,,,0.0,0.0,0.0,,,,-1.0,,
1.01E+11,,,,RB,0.3,D,SI1,EX,VG,EX   ,GIA,3215803815,0.0,4.32,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,463.65,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,SI1,VG,EX,G   ,GIA,1213959336,0.0,4.33,0.0,0.0,0.0,0.0,0.0,,STK,STK,,,,429.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,SI1,EX,EX,VG   ,GIA,6215979126,0.0,4.29,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,458.7,,,,0.0,0.0,0.0,,,,-1.0,,
1.01E+11,,,,RB,0.3,D,SI1,EX,EX,EX   ,GIA,1213998240,0.0,4.28,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,491.7,,,,0.0,0.0,0.0,,,,-1.0,,
1.01E+11,,,,RB,0.3,D,SI1,EX,EX,EX   ,GIA,2216811440,0.0,4.29,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,491.7,,,,0.0,0.0,0.0,,,,-1.0,,
1.01E+11,,,,RB,0.3,D,SI1,VG,EX,VG   ,GIA,7211863819,0.0,4.21,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,438.9,,,,0.0,0.0,0.0,,,,-1.0,,
